region,id
Чукотский автономный округ,463
Архангельская область,1801
Мурманская область,758
Республика Карелия,1103
Республика Саха (Якутия)
Красноярский край,993
Ленинградская область
Псковская область,276
Город Санкт-Петербург
Ненецкий автономный округ,2099
Новгородская область
Тверская область,2068
Вологодская область,1291
Смоленская область,2032
Камчатский край,475
Ямало-Ненецкий АО,2612
Республика Коми,1049
Брянская область,694
Магаданская область,1023
Ярославская область,1457
Московская область
Калужская область,434
Город Москва
Костромская область,198813
Владимирская область,2477
Тульская область,1545
Орловская область
Ивановская область,1829
Курская область,554
Кировская область,1526
Рязанская область,2251
Белгородская область,377
Нижегородская область
Липецкая область,1713
Ханты-Мансийский АО,1253
Воронежская область,1589
Тамбовская область,2326
Мордовская республика,1346
Республика Марий-Эл
Пензенская область,2359
Пермский край,1780
Чувашская республика,1483
Свердловская область,823
Удмуртская республика,1083
Саратовская область,858
Волгоградская область,405
Ульяновская область,1696
Республика Татарстан,118
Ростовская область,175
Краснодарский край,1399
Хабаровский край,1170
Самарская область,2603
Республика Адыгея
Республика Башкирия,1611
Ставропольский край,2425
Оренбургская область,1408
Республика Калмыкия,1323
Астраханская область,2169
Карачаево-Черкесская республика,1967
Тюменская область,1896
Челябинская область,517
Иркутская область,1951
Курганская область,1674
Томская область,2410
Кабардино-Балкарская республика,479
Омская область,727
Сахалинская область,1749
Республика Северная Осетия
Республика Дагестан,249
Чеченская республика + Ингушская республика,890,2386
Новосибирская область,2001
Забайкальский край,1164
Амурская область,933
Кемеровская область
Бурятская республика
Алтайский край
Республика Тува,916
Приморский край,2293
Еврейская автономная область
Республика Хакасия,1981
Республика Алтай
Калининградская область,599
