index,type,code,name,capital,lat,lon,population
1,region,RU-SE,Северная Осетия - Алания Республика,Владикавказ,43.036670000000,44.667780000000,317370
2,region,RU-KLU,Калужская Область,Калуга,54.529300000000,36.275420000000,338978
3,region,RU-BEL,Белгородская Область,Белгород,50.610740000000,36.580150000000,345289
4,region,RU-MAG,Магаданская Область,Магадан,59.563800000000,150.803470000000,95282
5,region,RU-KEM,Кемеровская Область,Кемерово,55.333330000000,86.083330000000,477090
6,region,RU-VLG,Вологодская Область,Вологда,59.223900000000,39.883980000000,314900
7,region,RU-IRK,Иркутская Область,Иркутск,52.297780000000,104.296390000000,586695
8,region,RU-SMO,Смоленская Область,Смоленск,54.781800000000,32.040100000000,320991
9,region,RU-AMU,Амурская Область,Благовещенск,50.279610000000,127.540500000000,221296
10,region,RU-ULY,Ульяновская Область,Ульяновск,54.328240000000,48.386570000000,640680
11,region,RU-KO,Коми Республика,Сыктывкар,61.676420000000,50.809940000000,230139
12,region,RU-KL,Калмыкия Республика,Элиста,46.307780000000,44.255830000000,106971
13,region,RU-SVE,Свердловская Область,Екатеринбург,56.851900000000,60.612200000000,1349772
14,region,RU-PNZ,Пензенская Область,Пенза,53.200660000000,45.004640000000,512602
15,region,RU-PRI,Приморский Край,Владивосток,43.105620000000,131.873530000000,587022
16,region,RU-YAR,Ярославская Область,Ярославль,57.629870000000,39.873680000000,606730
17,region,RU-ORE,Оренбургская Область,Оренбург,51.772700000000,55.098800000000,550204
18,region,RU-KGD,Калининградская Область,Калининград,54.706490000000,20.510950000000,434954
19,region,RU-KC,Карачаево-Черкесская Республика,Черкесск,44.223330000000,42.057780000000,116224
20,region,RU-BRY,Брянская Область,Брянск,53.252090000000,34.371670000000,427236
21,region,RU-CU,Чувашская Республика - Чувашия,Чебоксары,56.132220000000,47.251940000000,446781
22,region,RU-CHU,Чукотский Автономный округ,Анадырь,64.734240000000,177.510300000000,10332
23,region,RU-MOW,Москва Город,,,,
24,region,RU-PER,Пермский Край,Пермь,58.010460000000,56.250170000000,982419
25,region,RU-ARK,Архангельская Область,Архангельск,64.540100000000,40.543300000000,356051
27,region,RU-KIR,Кировская Область,Киров,58.596650000000,49.660070000000,457383
28,region,RU-SAR,Саратовская Область,Саратов,51.540560000000,46.008610000000,863725
29,region,RU-MUR,Мурманская Область,Мурманск,68.979170000000,33.092510000000,319263
30,region,RU-LIP,Липецкая Область,Липецк,52.603110000000,39.570760000000,515655
31,region,RU-KYA,Красноярский Край,Красноярск,56.018390000000,92.867170000000,927200
32,region,RU-TA,Татарстан Республика,Казань,55.788740000000,49.122140000000,1104738
33,region,RU-SA,Саха /Якутия/ Республика,Якутск,62.033890000000,129.733060000000,235600
34,region,RU-UD,Удмуртская Республика,Ижевск,56.849760000000,53.204480000000,631038
35,region,RU-TAM,Тамбовская Область,Тамбов,52.731690000000,41.443260000000,290933
36,region,RU-KK,Хакасия Республика,Абакан,53.715560000000,91.429170000000,167289
37,region,RU-BU,Бурятия Республика,Улан-Удэ,51.827210000000,107.606270000000,360278
39,region,RU-NVS,Новосибирская Область,Новосибирск,55.041500000000,82.934600000000,1419007
41,region,RU-IN,Ингушетия Республика,Магас,43.222570000000,44.772610000000,2502
42,region,RU-NGR,Новгородская Область,Великий Новгород,58.521310000000,31.271040000000,215062
43,region,RU-CE,Чеченская Республика,Грозный,43.311950000000,45.688950000000,226100
45,region,RU-TVE,Тверская Область,Тверь,56.858360000000,35.900570000000,400212
46,region,RU-RYA,Рязанская Область,Рязань,54.626900000000,39.691600000000,520173
47,region,RU-LEN,Ленинградская Область,Санкт-Петербург,59.938630000000,30.314130000000,5028000
48,region,RU-ME,Марий Эл Республика,Йошкар-Ола,56.638770000000,47.890780000000,279100
49,region,RU-ZAB,Забайкальский Край,Чита,52.031710000000,113.500870000000,308500
50,region,RU-KHA,Хабаровский Край,Хабаровск,48.482720000000,135.083790000000,579000
52,region,RU-AST,Астраханская Область,Астрахань,46.349680000000,48.040760000000,502533
53,region,RU-VLA,Владимирская Область,Владимир,56.136550000000,40.396580000000,310024
54,region,RU-DA,Дагестан Республика,Махачкала,42.976380000000,47.502360000000,497959
55,region,RU-KOS,Костромская Область,Кострома,57.766470000000,40.926860000000,277656
56,region,RU-NIZ,Нижегородская Область,Нижний Новгород,56.328670000000,44.002050000000,1284164
57,region,RU-MO,Мордовия Республика,Саранск,54.183800000000,45.174900000000,303394
58,region,RU-VGG,Волгоградская Область,Волгоград,48.719390000000,44.501840000000,1011417
59,region,RU-TY,Тыва Республика,Кызыл,51.714720000000,94.453380000000,108240
60,region,RU-KB,Кабардино-Балкарская Республика,Нальчик,43.498060000000,43.618890000000,272800
61,region,RU-NEN,Ненецкий Автономный округ,Нарьян-Мар,67.638690000000,53.003710000000,18041
62,region,RU-SPE,Санкт-Петербург Город,,,,
63,region,RU-SAK,Сахалинская Область,Южно-Сахалинск,46.954070000000,142.736030000000,176484
64,region,RU-CHE,Челябинская Область,Челябинск,55.154020000000,61.429150000000,1062919
65,region,RU-ALT,Алтайский Край,Барнаул,53.360560000000,83.763610000000,599579
66,region,RU-ROS,Ростовская Область,Ростов-на-Дону,47.231350000000,39.723280000000,1074482
67,region,RU-SAM,Самарская Область,Самара,53.200060000000,50.150000000000,1134730
68,region,RU-AD,Адыгея Республика,Майкоп,44.607780000000,40.105830000000,158451
69,region,RU-PSK,Псковская Область,Псков,57.813600000000,28.349600000000,201990
70,region,RU-VOR,Воронежская Область,Воронеж,51.672040000000,39.184300000000,848752
71,region,RU-KGN,Курганская Область,Курган,55.450000000000,65.333330000000,343129
72,region,RU-TUL,Тульская Область,Тула,54.196090000000,37.618220000000,468825
73,region,RU-TYU,Тюменская Область,Тюмень,57.152220000000,65.527220000000,519119
74,region,RU-KAM,Камчатский Край,Петропавловск-Камчатский,53.044440000000,158.650760000000,187282
75,region,RU-KR,Карелия Республика,Петрозаводск,61.784910000000,34.346910000000,265025
76,region,RU-KRS,Курская Область,Курск,51.737330000000,36.187350000000,409431
77,region,RU-YEV,Еврейская Автономная область,Биробиджан,48.792840000000,132.923860000000,76146
78,region,RU-STA,Ставропольский Край,Ставрополь,45.042800000000,41.973400000000,363064
79,region,RU-YAN,Ямало-Ненецкий Автономный округ,Салехард,66.530000000000,66.601940000000,38025
80,region,RU-BA,Башкортостан Республика,Уфа,54.743060000000,55.967790000000,1033338
83,region,RU-AL,Алтай Республика,Горно-Алтайск,51.960560000000,85.918920000000,54917
84,region,RU-IVA,Ивановская Область,Иваново,56.997190000000,40.971390000000,420839
85,region,RU-KDA,Краснодарский Край,Краснодар,45.044840000000,38.976030000000,649851
86,region,RU-KHM,Ханты-Мансийский Автономный округ - Югра Автономный округ,Ханты-Мансийск,61.004170000000,69.001940000000,67800
87,region,RU-TOM,Томская Область,Томск,56.497710000000,84.974370000000,485519
88,region,RU-OMS,Омская Область,Омск,54.992440000000,73.368590000000,1129281
89,region,RU-MOS,Московская Область,Москва,55.752220000000,37.615560000000,10381222
90,region,RU-ORL,Орловская Область,Орел,52.965080000000,36.078500000000,324200
